source_file,record_type,sample_id,lab_tag,drillhole_id,depth_m,depth_from_m,depth_to_m,sample_type,rock_name,rock_name_original,texture,minerals,alteration,mineralization,description_summary,analyst_or_lab,report_date
Петрограф008.docx,petrographic_description,OVD008-27.3,41028,OVD008,27.3,,,polished thin section (ӨТШ),Porphyritic fine-grained pyroxene-hornblende gabbro (altered gabbro porphyry),Шигтгээ маягийн жижиг ширхэгтэй пироксен эвэр хуурмагт габбро (Хувирсан габбро порфир),"Структур: невадит шигтгээлэг; үндсэн хэсэг субофитлог, пойкилоофитлог, призмлэг мөхлөгт. Текстур: цул нягт. Мөхлөг: шигтгээ 1.0-7.0 мм, үндсэн хэсэг 0.1-0.8 мм",хувирсан плагиоклаз:55-60; эвэр хуурмаг:35-40; моноклин пироксен:цөөн; биотит:цөөн; кварц:цөөн; гётит:цөөн; пирит:ганц нэг,"серицит, мусковит, соссюрит, хлорит, актинолит, карбонат; биотит хлоритжсон","Гётит-гидрогётит; гётит 0.05-0.3 мм шигтгээлэг мөхлөг, дотор нь ганц нэг бичил пирит","Эвэр хуурмагийн шигтгээлэг ялгарлууд (60-65%) болон плагиоклаз, эвэр хуурмаг, цөөн мон.пироксен, кварцаас тогтсон офитлог, пойкилоофитлог үндсэн хэсгээс бүрдэнэ. Плагиоклаз нь дундлаг-суурилаг найрлагатай, серицит, мусковит, карбонат, соссюритад хүчтэй хувирсан. Ойсон гэрэлд гётитын цөөн мөхлөгүүд өнгөт эрдсүүдтэй ассоциаци үүсгэн тодорхойлогдсон.",not stated in document (Khanlab per ABM 'Suggested Petro for the Oval 2024' list),
Петрограф008.docx,petrographic_description,OVD008-39.5,41032,OVD008,39.5,,,polished thin section (ӨТШ),Altered porphyritic fine-grained pyroxene-hornblende melanocratic gabbro (altered melanocratic gabbro porphyry),Хувирсан шигтгээ маягийн жижиг ширхэгтэй пироксен эвэр хуурмагт меланократ габбро (Хувирсан меланократ габбро порфир),"Структур: невадит шигтгээлэг; үндсэн хэсэг субофитлог, пойкилоофитлог, призмлэг мөхлөгт. Текстур: цул нягт. Мөхлөг: шигтгээ 1.0-6.0 мм, үндсэн хэсэг 0.1-0.8 мм",хувирсан плагиоклаз:30-35; эвэр хуурмаг:50-55; моноклин пироксен:10-15; биотит:1-3; пирит:цөөн; халькопирит:цөөн; пирротин:цөөн; ильменит:цөөн; магнетит:цөөн,"серицит, мусковит, соссюрит, хлорит, актинолит, карбонат; ромбо пироксеноор үүссэн актинолит(+тальк) псевдоморфозууд",Ильменит - пирит - пирротин - халькопирит; шигтгээлэг бичил мөхлөгүүд; халькопирит (0.01-0.05 мм) пирротины шигтгээг эмжээрлэнэ; магнетит хааяа гематитжсэн,"OVD008-27.3 дээжтэй ижилхэн: эвэр хуурмагийн шигтгээлэг ялгарлууд (60-65%) невадит бүтэцтэй, үндсэн хэсэг нь офитлог, пойкилоофитлог. Зарим шигтгээ актинолитын зүүлэг агрегатад (тальктай) бүрэн хувирсан ромбо пироксены псевдоморфоз бололтой. Хүдрийн эрдсээс магнетит, ильменит, пирротин, халькопирит, пиритын цөөн бичил шигтгээлэг мөхлөгүүд өнгөт эрдсүүдтэй ассоциацитай.",not stated in document (Khanlab per ABM 'Suggested Petro for the Oval 2024' list),
Петрограф008.docx,petrographic_description,OVD008-40.1,41013,OVD008,40.1,,,polished thin section (ӨТШ),Strongly metasomatically altered gabbrodiorite porphyry,Метасоматозоор хүчтэй хувирсан габбродиорит порфир,"Структур: реликт шигтгээлэг; үндсэн хэсэг бичил реликт призмлэг мөхлөгт, микрогранонематобласт. Текстур: цул нягт, линзлэг, судлархаг. Мөхлөг: реликт шигтгээ 1.0-2.0 мм, үндсэн хэсэг 0.05-0.2 мм",хувирсан плагиоклаз:30-35; хувирсан эвэр хуурмаг:30-35; пирит:0.5; ильменит:0.5; халькопирит:цөөн; сфен:цөөн,"серицит, пелит, актинолит, эпидот, хлорит, лейкоксен; эпигенетик: кварц, эпидот; серицит-эпидот-хлорит-актинолитот бичил үе, зурвасууд",Ильменит - пирит - халькопирит; бичил шигтгээлэг мөхлөгүүд хлорит-актинолит псевдоморфозтой ассоциацитай; эпидот-альбит-кварцын 0.01-0.1 мм судлууд дунд ч хүдрийн эрдэс үүссэн,"Габбродиорит порфир метасоматоз хувиралд хүчтэй өртөж, эвэр хуурмагийн шигтгээ актинолитод, үндсэн хэсгийн плагиоклаз болон эвэр хуурмаг серицит-эпидот-хлорит-актинолитот агрегатад хувирсан. Хүдрийн эрдсээс ильменит, халькопирит, пиритын бичил шигтгээлэг мөхлөгүүд тодорхойлогдож, пирит заримдаа бичил линз үүсгэн бөөгнөрсөн.",not stated in document (Khanlab per ABM 'Suggested Petro for the Oval 2024' list),
Петрограф008.docx,petrographic_description,OVD008-60.3,41029,OVD008,60.3,,,polished thin section (ӨТШ),Porphyritic fine-grained pyroxene-hornblende melanocratic gabbro (altered melanocratic gabbro porphyry),Шигтгээ маягийн жижиг ширхэгтэй пироксен-эвэр хуурмагт меланократ габбро (Хувирсан меланократ габбро порфир),"Структур: невадит шигтгээлэг; үндсэн хэсэг субофитлог, пойкилоофитлог, призмлэг мөхлөгт. Текстур: цул нягт. Мөхлөг: шигтгээ 1.0-6.0 мм, үндсэн хэсэг 0.1-0.7 мм",хувирсан плагиоклаз:30-35; эвэр хуурмаг:45-50; моноклин пироксен:15-20; биотит:цөөн; кварц:цөөн; пирит:цөөн; халькопирит:цөөн; пирротин:ганц нэг; ильменит:цөөн; магнетит:цөөн,"серицит, соссюрит, хлорит, актинолит, тальк; ромбо пироксены актинолит+талькийн бүрэн псевдоморфозууд (1.0-5.0 мм)",Магнетит - ильменит - пирит - пирротин - халькопирит; цөөн бичил шигтгээлэг мөхлөгүүд; халькопирит пирротиныг эмжээрлэнэ,"OVD008-39.5-тай ижил төстэй: эвэр хуурмагийн шигтгээлэг ялгарлууд (55-60%) болон офитлог, пойкилоофитлог үндсэн хэсэг. Актинолит, талькэд бүрэн хувирсан ромбо пироксены псевдоморфоз шигтгээнүүд цөөнгүй. Хүдрийн эрдсүүд шигтгээ байдлаар өнгөт эрдсүүдтэй ассоциаци үүсгэсэн.",not stated in document (Khanlab per ABM 'Suggested Petro for the Oval 2024' list),
Петрограф008.docx,petrographic_description,OVD008-88.9,41030,OVD008,88.9,,,polished thin section (ӨТШ),Porphyritic fine-grained pyroxene-hornblende gabbro (altered gabbro porphyry),Шигтгээ маягийн жижиг ширхэгтэй пироксен-эвэр хуурмагт габбро (Хувирсан габбро порфир),"Структур: невадит шигтгээлэг; үндсэн хэсэг субофитлог, пойкилоофитлог, призмлэг мөхлөгт. Текстур: цул нягт. Мөхлөг: шигтгээ 1.0-5.0 мм, үндсэн хэсэг 0.1-0.9 мм",хувирсан плагиоклаз:40-45; эвэр хуурмаг:35-40; пироксен:15-20; биотит:1-3; пирит:цөөн; халькопирит:цөөн; пирротин:ганц нэг; ильменит:цөөн; магнетит:цөөн,"серицит, эпидот, хлорит, актинолит, тальк, карбонат; эпигенетик: альбит, кварц; хлорит-актинолит(+тальк) псевдоморфозууд 2.0-4.0 мм","Магнетит - ильменит - пирит - халькопирит; жижиг ширхэгтэй мөхлөгүүд өнгөт эрдсүүдтэй ассоциаци, ургалт үүсгэсэн; халькопирит ильмениттэй ассоциацитай","Хувирсан мон.пироксен, эвэр хуурмагийн шигтгээлэг ялгарлууд (60-65%) болон плагиоклаз, эвэр хуурмаг, цөөн мон.пироксен, биотитоос тогтсон офитлог, пойкилоофитлог үндсэн хэсэг. Пироксеноор үүссэн хлорит-актинолитын псевдоморфозууд эвэр хуурмагаар түрэгдсэн. Хүдрийн эрдсээс магнетит, ильменит, халькопирит, пиритын жижиг мөхлөгүүд тодорхойлогдсон.",not stated in document (Khanlab per ABM 'Suggested Petro for the Oval 2024' list),
Петрограф008.docx,petrographic_description,OVD008-90.5,41024,OVD008,90.5,,,polished thin section (ӨТШ),Strongly mineralized quartz diorite porphyry (andesite-dacite),Хүчтэй хүдэржсэн кварцат диорит порфир (Андезит дацит),"Структур: шигтгээлэг; үндсэн хэсэг бичил гипидиоморфлог. Текстур: цул нягт. Мөхлөг: шигтгээ 0.2-0.7 мм, үндсэн хэсэг 0.02-0.1 мм",хувирсан плагиоклаз:75-80; хувирсан биотит:10-15; кварц:5-10; титанит:цөөн; халькопирит:8-10; магнетит:0.5-1.0; пирит:1-3; пирротин:3-5,"серицит, пелит, хлорит, мусковит, эпидот; эпигенетик: кварц, карбонат; биотит мусковит-хлоритод бүрэн хувирсан",Магнетит - пирит - пирротин - халькопирит; халькопирит жигд тархсан шигтгээ + кварц-карбонатын судлын дагуух пирит-халькопиритын судлууд (0.05-0.2 мм); пирит-халькопирит-пирротины линзүүд 2.5-3.0 мм; хүдрийн судал линзийн өргөн 0.5-25.0 мм,"Хувирсан биотитын бичил шигтгээнүүд (5-10%) болон плагиоклаз, биотит, кварцаас тогтсон бичил гипидиоморфлог үндсэн хэсэгтэй, талсжилт муутай (дацит-андезит гэж ч нэрлэж болно). Чулуу хүдэржилтэнд хүчтэй өртөж, хүдрийн эрдсүүд жигд тархсан шигтгээ, кварц-карбонатын судлын дагуух судал, линзээр үүссэн. Ойсон гэрэлд магнетит, пирит, халькопирит, пирротин тодорхойлогдлоо.",not stated in document (Khanlab per ABM 'Suggested Petro for the Oval 2024' list),
Петрограф008.docx,petrographic_description,OVD007-50.0,41011,OVD007,50.0,,,polished thin section (ӨТШ),Mineralized fine- to medium-grained hornblende-pyroxene melanocratic gabbro (peridotite?),Хүдэржсэн жижиг дунд ширхэгтэй эвэр хуурмаг-пироксент меланократ габбро (перидотит?),"Структур: панидиоморфлог, пойкилоофитлог, пойкилитлог. Текстур: цул нягт. Мөхлөг: 0.4-4.0 мм",хувирсан пироксен (ромбо ба моноклин):55-60; эвэр хуурмаг:15-20; хувирсан плагиоклаз:10; хувирсан оливин:5-10; биотит:3-5; халькопирит:1-3; пирротин:5-8; ильменит:цөөн; магнетит:3-5; пентландит:цөөн; хромит:цөөн,"серицит, карбонат, хлорит, актинолит, серпентин, тальк?; оливин, ромбо пироксен серпентины судлуудаар зүсэгдсэн, торлог бүтэцтэй",Магнетит - ильменит - хромит - пентландит - пирротин - халькопирит; пентландит-пирротин-халькопиритын ургалтаас тогтсон линзүүд чулууны 20-25%-ийг эзэлнэ (1.0-6.0 мм); халькопирит пирротиныг түрж эмжээрлэсэн; магнетит серпентины судланцрын дагуу бичил судлууд үүсгэнэ,"Хувирсан пироксен (ромбо ба мон.), эвэр хуурмаг, хувирсан оливин, бага плагиоклаз, биотитоос тогтоно. Хүчтэй хүдэржилтэд өртсөний улмаас пентландит-пирротин-халькопиритын линзүүд (чулууны 20-25%) жигд тархсан. Пирротин линз дотор зонхилж, захаасаа халькопиритээр эмжээрлэгдэж, дунд нь цөөн пентландит агуулагдана.",not stated in document (Khanlab per ABM 'Suggested Petro for the Oval 2024' list),
Петрограф008.docx,petrographic_description,OVD007-55.9,41031,OVD007,55.9,,,polished thin section (ӨТШ),Porphyritic fine-grained pyroxene-hornblende gabbro (altered gabbro porphyry),Шигтгээ маягийн жижиг ширхэгтэй пироксен-эвэр хуурмагт габбро (Хувирсан габбро порфир),"Структур: невадит шигтгээлэг; үндсэн хэсэг субофитлог, пойкилоофитлог, призмлэг мөхлөгт. Текстур: цул нягт. Мөхлөг: шигтгээ 1.0-7.5 мм, үндсэн хэсэг 0.1-0.9 мм",хувирсан плагиоклаз:40-45; эвэр хуурмаг:40-45; моноклин пироксен:10-15; биотит:1-3; пирит:цөөн; хромит:цөөн; ильменит:цөөн; магнетит:цөөн,"серицит, соссюрит, эпидот, хлорит, актинолит, тальк, карбонат; хлорит-актинолит(+тальк) бүрэн псевдоморфозууд 2.0-5.0 мм",Магнетит - ильменит - пирит; цөөн шигтгээлэг мөхлөгүүд өнгөт эрдсүүдтэй ассоциацитай,"OVD008-88.9-тэй ерөнхийдөө ижилхэн: эвэр хуурмагийн шигтгээлэг ялгарлууд (60-65%) болон офитлог, пойкилоофитлог үндсэн хэсэг. Пироксеноор үүссэн хлорит-актинолитын псевдоморфозууд эвэр хуурмагаар түрэгдсэн. Хүдрийн эрдсээс магнетит, ильменит, пиритын цөөн шигтгээлэг мөхлөг тодорхойлогдлоо.",not stated in document (Khanlab per ABM 'Suggested Petro for the Oval 2024' list),
Петрограф008.docx,petrographic_description,OVD007-58.2,41025,OVD007,58.2,,,polished thin section (ӨТШ),Altered melanocratic microgabbro (with lenses/bands of porphyritic melanocratic gabbronorite),Хувирсан меланократ микрогаббро,"Структур: бичил панидиоморфлог, пойкилоофитлог. Текстур: линзлэг, зурваслаг. Мөхлөг: 0.1-0.5 мм",моноклин пироксен:40-45; хувирсан плагиоклаз:40-45; эвэр хуурмаг:10-15; пирит:цөөн; халькопирит:1-3; пирротин:1-3; ильменит:цөөн; сфен:цөөн; магнетит:цөөн,"соссюрит, серицит, эпидот, хлорит, актинолит; эпигенетик: хлорит, эпидот; плагиоклаз соссюритад бүрэн хувирсан","Магнетит - ильменит - пирит - пирротин - халькопирит; хүдрийн линз, судлууд (0.3-6.0 мм) карбонат-эпидот-хлорит-актинолитын линз дотор; пирротин зонхилно (0.8-5.0 мм), халькопирит түүнийг түрж эмжээрлэнэ","Мөхлөгийн хэмжээ, эрдэслэг бүрэлдэхүүнээрээ ялгаатай 2 хэсгээс бүрдэнэ: зонхилох жижиг ширхэгтэй хувирсан меланократ микрогаббронорит болон 35-40%-ийг эзлэх шигтгээ маягийн меланократ габброноритын линз, зурвасууд. Хүдэржилтэд өртөж, хүдрийн эрдсийн бичил шигтгээ болон пирит-халькопирит-пирротины линз, судлууд аль алинд нь үүссэн.",not stated in document (Khanlab per ABM 'Suggested Petro for the Oval 2024' list),
Петрограф008.docx,petrographic_description,OVD007-87.8,41026,OVD007,87.8,,,polished thin section (ӨТШ),Altered gabbro porphyry,Хувирсан габбро порфир,"Структур: шигтгээлэг; үндсэн хэсэг субофитлог, пойкилоофитлог, призмлэг мөхлөгт. Текстур: цул нягт. Мөхлөг: шигтгээ 0.8-1.2 мм, үндсэн хэсэг 0.1-0.8 мм",хувирсан плагиоклаз:55-60; эвэр хуурмаг:35-40; моноклин пироксен:цөөн; биотит:5-8; кварц:1-3; пирит:ганц нэг; халькопирит:цөөн; ильменит:0.5; магнетит:цөөн,"серицит, мусковит, пелит, хлорит, актинолит, карбонат; серицит(тальк?)-хлорит-актинолитын псевдоморфозууд (0.2-0.4 мм, пироксеноор үүссэн байх магадлалтай)","Ильменит - магнетит - пирит - халькопирит; бичил цөөн мөхлөгүүд эвэр хуурмаг, биотиттой ассоциацитай","Эвэр хуурмагийн цөөн шигтгээ болон плагиоклаз, эвэр хуурмаг, биотит, кварцаас тогтсон офитлог, пойкилоофитлог, призмлэг мөхлөгт үндсэн хэсгээс бүрдэнэ. Плагиоклаз дундлаг-суурилаг найрлагатай, серицит, карбонат, хлорит, пелитэд хүчтэй хувирсан. Хүдрийн эрдсээс ильменит, магнетит, пирит, халькопиритын бичил цөөн мөхлөг тодорхойлогдсон.",not stated in document (Khanlab per ABM 'Suggested Petro for the Oval 2024' list),
