Hole_ID,Template,Second_template_if_any,Assign_basis
MTDH-01,T3_Ag-As-Sb,,"Ag 4.8 ppm (5 композит огтлол) · As 327 · гранит хост 79% · Zn 403 (T1 босго давахгүй)"
MTDH-02,T1_Zn-Ag,,"карбонат/AL хост 26% · Zn 536 · Sb 16.5 · сул хүдэржилт, үлдэгдлээр T1"
MTDH-03,T1_Zn-Ag,,"Zn 1397 (1 огтлол) · Mn 3496 · Cd 10.8 · карбонат-скарн хост 59%"
MTDH-04,T1_Zn-Ag,,"Zn 2887 (4 огтлол) · Pb 615 · Mn 6406 · Cd 14.9 · карбонат хост 68%"
MTDH-05,T1_Zn-Ag,,"Zn 1513 · Mn 18200 · карбонат хост 64% · скарны түлхүүр үг 9"
MTDH-06,T2_Mo-W-Sn,,"гранит/лейкогранит 97% · бүх элемент бага — грейзений барен орчин"
MTDH-07,T3_Ag-As-Sb,T1_Zn-Ag,"Ag 5.3 (2 огтлол) · Sb 24.8 (хамгийн өндөр) · As 214; хоёрдогч: Zn 1579"
MTDH-08,T2_Mo-W-Sn,,"Mo 165 · Sn 50 · Bi 179 · гранит хост 68%"
MTDH-09,T1_Zn-Ag,T3_Ag-As-Sb,"Zn 5121 · Mn 54900 · Cd 27.1 · In 13.8; хоёрдогч: Ag 5.87 (3 огтлол)"
MTDH-10,T2_Mo-W-Sn,,"гранит 94% · бүх элемент бага"
MTDH-11,T4_GeoLog,,"шинжилгээ 0 — 6 сорьц лабд илгээгдээгүй; лейкогранит 95%"
MTDH-12,T2_Mo-W-Sn,,"Mo 528 (композит огтлол) · карбонат хост боловч Mo давамгай"
MTDH-13,T1_Zn-Ag,,"Zn 7499 (11 огтлол) · Cd 43.9 · Mn 33600 · CaF2 29.45%"
MTDH-14,T2_Mo-W-Sn,T1_Zn-Ag,"W 244 · Sn 204 (3 огтлол) · Be 47.9 — Жаргалын шийдвэрээр T2 үндсэн; хоёрдогч: Zn 4648"
MTDH-15,T1_Zn-Ag,T2_Mo-W-Sn,"Zn 5162 (7 огтлол) · Ag 13.1 · Pb 791 · Mn 58300; хоёрдогч: Mo 347 + Sn 185"
MTDH-16,T1_Zn-Ag,T3_Ag-As-Sb,"Zn 3027 (4 огтлол) · Cd 35.9 · In 12.8; хоёрдогч: Ag 5.8 + As 522"
MTDH-17,T2_Mo-W-Sn,T1_Zn-Ag,"W 1010 · Mo 754 · Sn 225 · Be 103 — Жаргалын шийдвэрээр T2 үндсэн; хоёрдогч: Zn 5031 (10 огтлол)"
MTDH-18,T4_GeoLog,,"шинжилгээ 0"
MTDH-19,T4_GeoLog,,"шинжилгээ 0"
MTDH-20,T2_Mo-W-Sn,T1_Zn-Ag,"Mo 12000 ppm (1.2%) · Sn 295 · Be 34.4; хоёрдогч: Zn 8823 (8 огтлол) · Cd 48.6"
MTDH-21,T1_Zn-Ag,,"Pb 1040 (хамгийн өндөр) · Zn 2076 · In 13.7 — зөвхөн 2 дээж"
MTDH-22,T3_Ag-As-Sb,,"Ag 23.6 · As 3146 — хоёулаа төслийн дээд; карбонат хост 0%"
MTDH-23,T1_Zn-Ag,,"Zn 2096 · In 13.2 · S 4.66% (сульфидын бүс) · карбонат хост 35%"
MTDH-24,T2_Mo-W-Sn,,"гранит 99.5% · Mo 58 — грейзений орчин, дээж 4"
MTDH-25,T1_Zn-Ag,,"Zn 1337 · Mn 5273 · Cd 10.4 · карбонат хост 30%"
MTDH-26,T2_Mo-W-Sn,,"гранит 100% · Sn 29 · Be 11.5 — In_Model=N (загварчлалд ороогүй)"
